Gender,Nilai SMP,Nilai SMA,Nilai Sarjana,Pengalaman Kerja,Nilai Tes Kelayakan,Spesialisasi Magang,Nilai Magang,Status
0,67.0,91.0,58.0,0,55.0,1,58.8,1
0,79.33,78.33,77.48,1,86.5,0,66.28,1
0,65.0,68.0,64.0,0,75.0,0,57.8,1
0,56.0,52.0,52.0,0,66.0,1,59.43,0
0,85.8,73.6,73.3,0,96.8,0,55.5,1
0,55.0,49.8,67.25,1,55.0,0,51.58,0
1,46.0,49.2,79.0,0,74.28,0,53.29,0
0,82.0,64.0,66.0,1,67.0,0,62.14,1
0,73.0,79.0,72.0,0,91.34,0,61.29,1
0,58.0,70.0,61.0,0,54.0,0,52.21,0
0,58.0,61.0,60.0,1,62.0,1,60.85,1
0,69.6,68.4,78.3,1,60.0,0,63.7,1
1,47.0,55.0,65.0,0,62.0,1,65.04,0
1,77.0,87.0,59.0,0,68.0,0,68.63,1
0,62.0,47.0,50.0,0,76.0,1,54.96,0
1,65.0,75.0,69.0,1,72.0,0,64.66,1
0,63.0,66.2,65.6,1,60.0,0,62.54,1
1,55.0,67.0,64.0,0,60.0,0,67.28,0
1,63.0,66.0,64.0,0,68.0,1,64.08,0
0,60.0,67.0,70.0,1,50.48,0,77.89,1
0,62.0,65.0,66.0,0,50.0,1,56.7,1
1,79.0,76.0,85.0,0,95.0,0,69.06,1
1,69.8,60.8,72.23,0,55.53,1,68.81,1
1,77.4,60.0,64.74,1,92.0,0,63.62,1
0,76.5,97.7,78.86,0,97.4,0,74.01,1
1,52.58,54.6,50.2,1,76.0,0,65.33,0
0,71.0,79.0,66.0,1,94.0,0,57.55,1
0,63.0,67.0,66.0,0,68.0,1,57.69,1
0,76.76,76.5,67.5,1,73.35,0,64.15,1
0,62.0,67.0,58.0,0,77.0,0,51.29,0
1,64.0,73.5,73.0,0,52.0,1,56.7,1
1,67.0,53.0,65.0,0,64.0,1,58.32,0
1,61.0,81.0,66.4,0,50.89,1,62.21,1
